Background,Labolatory,"(640, 0)",#,,
Generate,Developer,ねこぜ,"(1100, 80)",#,
Generate,MainRobot,きおく,"(960, 162)",#,
Run,#,,,,
Act,きおく,Sleep,#,,
Run,#,,,,
Wait,1,#,,,
Text,???,MainRobotIcon,0.1,（あれは... 僕だ...）,#
Text,ねこぜ,DeveloperIcon,0.15,完成した... やっぱり俺は優秀だ...,#
Act,ねこぜ,Walk,#,,
Move,ねこぜ,1.9,"(-50, 0)",TRUE,#
Act,ねこぜ,Wait,#,,
Text,ねこぜ,DeveloperIcon,0.08,他のロボットの記録を取り込むことで\n強くなるロボット.\n名前は... 「きおく」にしよう.,#
Text,ねこぜ,DeveloperIcon,0.08,壊れたロボットがいれば何倍にも強化できる.,#
Act,ねこぜ,Sit,#,,
Wait,1,#,,,
Text,ねこぜ,DeveloperIcon,0.08,"だが, 玄関を開けるには\n壊れたロボットが足りない.",#
Wait,2,#,,,
Text,ねこぜ,DeveloperIcon,0.12,そうだ.... 思いついた...,#
Act,ねこぜ,Stand,#,,
Wait,1,#,,,
Text,ねこぜ,DeveloperIcon,0.08,「裏切り物のロボットがいる」\n母さんにそう言おう.\n母さんは裏切り物を許さないはずだ.,#
Text,ねこぜ,DeveloperIcon,0.08,"「きおく」を強化しながら, 無能なロボットを\n処分できる. 一石二鳥じゃないか.",#
Text,ねこぜ,DeveloperIcon,0.08,"とりあえず, こいつは倉庫に隠しておこう.\n玄関ゲートが開いたら母さん驚くぞ...",#
Wait,1,#,,,
Effect,Dark,#,,,
Wait,2,#,,,
Background,StoreRoom(now),"(0,0)",#,,
Move,ねこぜ,0,"(-700 , 0)",TRUE,#
Effect,Dark,#,,,
Act,ねこぜ,Walk,#,,
Move,ねこぜ,1.9,"(50,0)",TRUE,#
Act,ねこぜ,Wait,#,,
Wait,1,#,,,
Text,ねこぜ,DeveloperIcon,0.08,これでよし.,#
Act,ねこぜ,Mirror,#,,
Text,ねこぜ,DeveloperIcon,0.08,"待ってろ, きおく.\nお前を強くしてやる.",#
Effect,Dark,#,,,
Act,ねこぜ,Walk,#,,
Move,ねこぜ,2,"(100, 0)",TRUE,#
Scene,Adventure,#,,,
