Background,LibraryAndPC,"(220,0)",#,,
Generate,Researcher,がくしゃ,"(360, 240)",#,
Generate,Repair0,くるま,"(700, 220)",#,
Run,#,,,,
Act,がくしゃ,Left,#,,
Run,#,,,,
Move,くるま,2,"(-90, 0)",TRUE,#
Wait,1,#,,,
Move,くるま,0.2,"(-10, 0)",TRUE,#
Wait,2,#,,,
Act,くるま,Mirror,#,,
Move,くるま,3,"(100, 0)",TRUE,#
Text,がくしゃ,ResearcherIcon,0.12,私の母は「ハカセ」という人間に作られたらしい.,#
Text,がくしゃ,ResearcherIcon,0.12,ハカセは母のココロを不安定だと言った.,#
Text,がくしゃ,ResearcherIcon,0.12,"母のココロの不安定さを危険だと,\nハカセは思ったのだろう.",#
Act,がくしゃ,RightWalk,#,,
Move,がくしゃ,0.9,"(20, 0)",TRUE,#
Act,がくしゃ,Right,#,,
Text,がくしゃ,ResearcherIcon,0.12,"母はそれを否定した.\nだが, 疑ってしまうのだろう.",#
Act,がくしゃ,Front,#,,
Wait,0.8,#,,,
Act,がくしゃ,Sleep,#,,
Wait,0.5,#,,,
Act,がくしゃ,Think,#,,
Wait,1,#,,,
Text,がくしゃ,ResearcherIcon,0.12,私達は完全な心がどんなものかを知らない.\n自分達のココロが完全か分からない.,#
Act,がくしゃ,Awake,#,,
Wait,1,#,,,
Text,がくしゃ,ResearcherIcon,0.12,人間の心について調べる必要がある.,#
Scene,Adventure,#,,,
