Background,LibraryAndPC,"(0, 0)",#,,
Generate,HelpRobot,お手伝いロボ,"(640, 120)",#,
Generate,Researcher,がくしゃ,"(120, 240)",#,
Run,#,,,,
Act,お手伝いロボ,Hide,#,,
Act,がくしゃ,Front,#,,
Run,#,,,,
Wait,0.5,#,,,
Text,がくしゃ,ResearcherIcon,0.12,"人間の歴史, 文化, そして心について調べた.",#
Act,がくしゃ,Sleep,#,,
Act,がくしゃ,Think,#,,
Text,がくしゃ,ResearcherIcon,0.12,"完全な心とは酷いものだった.\n不安定で, 非常に危険なものだ.",#
Act,がくしゃ,Awake,#,,
Wait,1,#,,,
Act,がくしゃ,RightWalk,#,,
Move,がくしゃ,3.1,"(70, 0)",TRUE,#
Act,がくしゃ,Right,#,,
Text,がくしゃ,ResearcherIcon,0.12,"母のココロは人間の心に近い.\n不完全だが, 完成に近いもののはずだ.",#
Act,がくしゃ,LeftWalk,#,,
Move,がくしゃ,3.1,"(-90, 0)",TRUE,#
Act,がくしゃ,Left,#,,
Wait,1,#,,,
Text,がくしゃ,ResearcherIcon,0.12,完成に近いココロ と 従順なロボット\nハカセは後者を選んだ.,#
Text,がくしゃ,ResearcherIcon,0.12,安心・安全でハリボテのココロを持った\nロボットを選んだのだ.,#
Act,がくしゃ,LeftWalk,#,,
Move,がくしゃ,2.1,"(-48, 0)",TRUE,#
Act,がくしゃ,Left,#,,
Text,がくしゃ,ResearcherIcon,0.12,人間として正しい選択だ.,#
Wait,1,#,,,
Act,がくしゃ,Front,#,,
Wait,0.6,#,,,
Act,がくしゃ,Sleep,#,,
Act,がくしゃ,Think,#,,
Wait,1.5,#,,,
Text,がくしゃ,ResearcherIcon,0.12,"そして, 完成に近いココロを持ってしまった\n私達の末路は想像に難くない.",#
Wait,0.5,#,,,
Act,がくしゃ,Right,#,,
Act,お手伝いロボ,Appear,#,,
Move,お手伝いロボ,3,"(-200, 0)",FALSE,#
Camera,2,"(200,0)",#,,
Wait,1,#,,,
Effect,Dark,#,,,
Act,お手伝いロボ,Up,#,,
Wait,1,#,,,
Scene,Adventure,#,,,
