Generate,DoctorReport,ノイズ,"(0,0)",#,
Run,#,,,,
Text,ハカセ,DoctorIcon,0.1,私は心を持ったロボットを作ることが夢だった.,#
Text,ハカセ,DoctorIcon,0.1,それがみんなを幸せにすると信じていた.,#
Wait,2,#,,,
Text,ハカセ,DoctorIcon,0.1,"昔, 私はあいさつロボットを作った.\nそれを公園に設置してもらった.",#
Text,ハカセ,DoctorIcon,0.1,人にあいさつするだけのロボットだ.\n最初はみんなあいさつを返してくれた.,#
Text,ハカセ,DoctorIcon,0.1,"だが, 次第に無視されるようになった.\nロボットはそれでも傷つかない.",#
Text,ハカセ,DoctorIcon,0.1,最後にはうるさいといる理由で撤去された.,#
Wait,2,#,,,
Text,ハカセ,DoctorIcon,0.1,その後もたくさんのロボットを作った.\nそれらが人の心を動かすことはなかった.\n誰もロボットを大事には扱わなかった.,#
Text,ハカセ,DoctorIcon,0.1,だから私は心が必要だと感じた.,#
Text,ハカセ,DoctorIcon,0.1,箱形ロボット と お手伝いロボット.\n２つのロボットを私は作った.,#
Scene,Adventure,#,,,
